Assay Categories	DeepSEA Testing Data	CARMEN Testing Data
Transcription Factor Binding	0.940164912	0.913587553
Transcription Factor Binding	0.767921738	0.822943184
Transcription Factor Binding	0.870429353	0.900928029
Transcription Factor Binding	0.556588777	0.778598469
Transcription Factor Binding	0.987867661	0.910527018
Transcription Factor Binding	0.908067699	0.96057533
Transcription Factor Binding	0.855191748	0.914682678
Transcription Factor Binding	0.716818583	0.854241488
Transcription Factor Binding	0.839413768	0.913356184
Transcription Factor Binding	0.945364747	0.989262663
Transcription Factor Binding	0.834972923	0.887767023
Transcription Factor Binding	0.792341748	0.900347215
Transcription Factor Binding	0.907468196	0.968048235
Transcription Factor Binding	0.886430504	0.967496411
Transcription Factor Binding	0.838171922	0.947239408
Transcription Factor Binding	0.887865473	0.926291213
Transcription Factor Binding	0.878940893	0.942492172
Transcription Factor Binding	0.902769775	0.976816643
Transcription Factor Binding	0.742208236	0.916367585
Transcription Factor Binding	0.853938345	0.978024878
Transcription Factor Binding	0.814455752	0.950238192
Transcription Factor Binding	0.854289157	0.937782248
Transcription Factor Binding	0.789847223	0.966511672
Transcription Factor Binding	0.985855352	0.985570564
Transcription Factor Binding	0.685532296	0.883366193
Transcription Factor Binding	0.872282857	0.939746672
Transcription Factor Binding	0.863468152	0.787254017
Transcription Factor Binding	0.943601421	0.966326952
Transcription Factor Binding	0.847380479	0.929747193
Transcription Factor Binding	0.716621179	0.898704247
Transcription Factor Binding	0.893867377	0.944556751
Transcription Factor Binding	0.956219154	0.963650475
Transcription Factor Binding	0.977021405	0.97350103
Transcription Factor Binding	0.956721508	0.967987501
Transcription Factor Binding	0.922985455	0.973237954
Transcription Factor Binding	0.873761795	0.990261944
Transcription Factor Binding	0.643305205	0.759608545
Transcription Factor Binding	0.863582192	0.980635651
Transcription Factor Binding	0.91818568	0.974786458
Transcription Factor Binding	0.905869148	0.96271074
Transcription Factor Binding	0.841911774	0.879738352
Transcription Factor Binding	0.857010803	0.951080215
Transcription Factor Binding	0.766088384	0.883596437
Transcription Factor Binding	0.882243074	0.966793524
Transcription Factor Binding	0.755735444	0.877119944
Transcription Factor Binding	0.950794032	0.982842295
Transcription Factor Binding	0.943029992	0.991760204
Transcription Factor Binding	0.90001162	0.969279742
Transcription Factor Binding	0.972702408	0.987341574
Transcription Factor Binding	0.847018319	0.984146859
Transcription Factor Binding	0.918627073	0.982523352
Transcription Factor Binding	0.911629266	0.965073978
Transcription Factor Binding	0.924603009	0.961706558
Transcription Factor Binding	0.936594418	0.975297382
Transcription Factor Binding	0.892928253	0.946061796
Transcription Factor Binding	0.925702475	0.985522143
Transcription Factor Binding	0.942405934	0.987689759
Transcription Factor Binding	0.90442303	0.950908293
Transcription Factor Binding	0.8954339	0.944350049
Transcription Factor Binding	0.858172019	0.61358347
Transcription Factor Binding	0.735061924	0.862422227
Transcription Factor Binding	0.910627653	0.948582986
Transcription Factor Binding	0.905626381	0.924739933
Transcription Factor Binding	0.895371069	0.952978154
Transcription Factor Binding	0.938988663	0.860200687
Transcription Factor Binding	0.966405096	0.938711487
Transcription Factor Binding	0.905761883	0.919312988
Transcription Factor Binding	0.92050194	0.913287095
Transcription Factor Binding	0.825956536	0.92634335
Transcription Factor Binding	0.916411528	0.970185393
Transcription Factor Binding	0.889825482	0.894352916
Transcription Factor Binding	0.923113427	0.950198388
Transcription Factor Binding	0.961067192	0.915400186
Transcription Factor Binding	0.841558064	0.919097129
Transcription Factor Binding	0.882484894	0.951152827
Transcription Factor Binding	0.926268751	0.967004815
Transcription Factor Binding	0.932919628	0.95022294
Transcription Factor Binding	0.822200019	0.938668708
Transcription Factor Binding	0.816760915	0.980755586
Transcription Factor Binding	0.779690633	0.91232175
Transcription Factor Binding	0.952547005	0.954600425
Transcription Factor Binding	0.909792376	0.979813497
Transcription Factor Binding	0.964043788	0.950060388
Transcription Factor Binding	0.746415097	0.824731755
Transcription Factor Binding	0.885422896	0.936031652
Transcription Factor Binding	0.851891775	0.893916887
Transcription Factor Binding	0.94544942	0.970418203
Transcription Factor Binding	0.819837598	0.937894026
Transcription Factor Binding	0.88340904	0.977362846
Transcription Factor Binding	0.926049612	0.899225201
Transcription Factor Binding	0.797717915	0.851426345
Transcription Factor Binding	0.921047119	0.96185095
Transcription Factor Binding	0.897451802	0.9492553
Transcription Factor Binding	0.92091676	0.92589115
Transcription Factor Binding	0.812054461	0.909577921
Transcription Factor Binding	0.945534409	0.960208884
Transcription Factor Binding	0.730218833	0.854929929
Transcription Factor Binding	0.798481013	0.879915086
Transcription Factor Binding	0.891741743	0.947286286
Transcription Factor Binding	0.973379275	0.846731538
Transcription Factor Binding	0.829038034	0.943886881
Transcription Factor Binding	0.875711126	0.937846393
Transcription Factor Binding	0.937062308	0.977033326
Transcription Factor Binding	0.861526619	0.94407029
Transcription Factor Binding	0.859140734	0.941456332
Transcription Factor Binding	0.843385743	0.960128344
Transcription Factor Binding	0.906881919	0.972362288
Transcription Factor Binding	0.894703103	0.976498612
Transcription Factor Binding	0.897841577	0.958379449
Transcription Factor Binding	0.944632342	0.978769976
Transcription Factor Binding	0.893953539	0.884343437
Transcription Factor Binding	0.84317564	0.858311563
Transcription Factor Binding	0.880201832	0.901030982
Transcription Factor Binding	0.856865046	0.973993664
Transcription Factor Binding	0.80493951	0.917540205
Transcription Factor Binding	0.931883393	0.986384864
Transcription Factor Binding	0.944042333	0.988637485
Transcription Factor Binding	0.929642989	0.961524479
Transcription Factor Binding	0.894872875	0.968188965
Transcription Factor Binding	0.950121825	0.965441322
Transcription Factor Binding	0.908551685	0.98923864
Transcription Factor Binding	0.936206745	0.895241816
Transcription Factor Binding	0.899912549	0.96702525
Transcription Factor Binding	0.853941322	0.943373143
