Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
Transcription Factor Binding	0.937949118	0.95395197	0.882965324
Transcription Factor Binding	0.97665218	0.985629811	0.940077804
Transcription Factor Binding	0.981453975	0.990721252	0.935467194
Transcription Factor Binding	0.981667377	0.991661661	0.876817969
Transcription Factor Binding	0.969645705	0.977584734	0.943644987
Transcription Factor Binding	0.976954139	0.983896185	0.907864752
Transcription Factor Binding	0.932395984	0.940631616	0.90398527
Transcription Factor Binding	0.913164608	0.919756971	0.928848211
Transcription Factor Binding	0.910769913	0.919441436	0.938310189
Transcription Factor Binding	0.928998872	0.935138106	0.903501825
Transcription Factor Binding	0.961040752	0.966515758	0.957457432
Transcription Factor Binding	0.98187018	0.987424696	0.916886552
Transcription Factor Binding	0.973080445	0.980823973	0.897970788
Transcription Factor Binding	0.968983533	0.973752096	0.96863498
Transcription Factor Binding	0.988688558	0.99285262	0.987045112
Transcription Factor Binding	0.974744268	0.979445883	0.987751874
Transcription Factor Binding	0.927509179	0.934062532	0.931540186
Transcription Factor Binding	0.944107757	0.951022563	0.922547752
Transcription Factor Binding	0.969182196	0.974589357	0.936031518
Transcription Factor Binding	0.972973835	0.977133874	0.896496018
Transcription Factor Binding	0.967934401	0.971719081	0.893857863
Transcription Factor Binding	0.977495879	0.980988424	0.896983198
Transcription Factor Binding	0.97327338	0.980055802	0.897508612
Transcription Factor Binding	0.974970836	0.978051988	0.931150106
Transcription Factor Binding	0.985836789	0.988579197	0.957834649
Transcription Factor Binding	0.947596877	0.951716913	0.978952019
Transcription Factor Binding	0.96486035	0.967138875	0.916077229
Transcription Factor Binding	0.934104818	0.936257213	0.960898597
Transcription Factor Binding	0.980554529	0.984173628	0.988274162
Transcription Factor Binding	0.983491889	0.98621887	0.921035912
Transcription Factor Binding	0.967220005	0.970666767	0.959841826
Transcription Factor Binding	0.965862229	0.96806588	0.950415449
Transcription Factor Binding	0.979581265	0.980536775	0.983553649
Transcription Factor Binding	0.988144431	0.988945081	0.949806448
Transcription Factor Binding	0.947636808	0.948844348	0.972035594
Transcription Factor Binding	0.982723563	0.983002327	0.971112303
Transcription Factor Binding	0.963368426	0.965664017	0.921662554
Transcription Factor Binding	0.984924079	0.987151504	0.9060862
Transcription Factor Binding	0.951919453	0.951987599	0.923809632
Transcription Factor Binding	0.922478475	0.922760288	0.965647794
