Profile Categories	AUC
DNA Accessibility	0.999995558
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999985407
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999981694
DNA Accessibility	0.999963819
DNA Accessibility	0.99998824
DNA Accessibility	0.999986044
DNA Accessibility	1
DNA Accessibility	0.999976591
DNA Accessibility	1
DNA Accessibility	0.999992592
DNA Accessibility	0.999991437
DNA Accessibility	0.999993146
DNA Accessibility	1
DNA Accessibility	0.999988862
DNA Accessibility	1
DNA Accessibility	0.999986393
DNA Accessibility	0.999983763
DNA Accessibility	0.999980432
DNA Accessibility	0.999985016
DNA Accessibility	0.9999932
DNA Accessibility	1
DNA Accessibility	0.999993423
DNA Accessibility	1
DNA Accessibility	0.99998889
DNA Accessibility	0.999986344
DNA Accessibility	0.999993682
DNA Accessibility	1
DNA Accessibility	0.9999906
DNA Accessibility	0.999988307
DNA Accessibility	0.999994093
DNA Accessibility	0.9999925
DNA Accessibility	0.999988305
DNA Accessibility	0.999992663
DNA Accessibility	0.999973641
DNA Accessibility	0.999979011
DNA Accessibility	0.999988266
DNA Accessibility	1
DNA Accessibility	1
Transcription Factor Binding	0.65207266
Transcription Factor Binding	0.711880805
Transcription Factor Binding	0.81027668
Transcription Factor Binding	0.824242424
Transcription Factor Binding	0.707127753
Transcription Factor Binding	0.760217768
Transcription Factor Binding	0.844752187
Transcription Factor Binding	0.842857143
Transcription Factor Binding	0.783012322
Transcription Factor Binding	0.808690687
Transcription Factor Binding	0.816829819
Transcription Factor Binding	0.814666832
Transcription Factor Binding	0.781794258
Transcription Factor Binding	0.812729213
Transcription Factor Binding	0.793706201
Transcription Factor Binding	0.833855799
Transcription Factor Binding	0.814446598
Transcription Factor Binding	0.799309665
Transcription Factor Binding	0.82830377
Transcription Factor Binding	0.802544976
Transcription Factor Binding	0.811081442
Transcription Factor Binding	0.800379075
Transcription Factor Binding	0.803329325
Transcription Factor Binding	0.808307543
Transcription Factor Binding	0.808068041
Transcription Factor Binding	0.805786881
Transcription Factor Binding	0.809686534
Transcription Factor Binding	0.815882627
Transcription Factor Binding	0.817393068
Transcription Factor Binding	0.816780818
Transcription Factor Binding	0.820122723
Transcription Factor Binding	0.824753443
Transcription Factor Binding	0.842253521
Transcription Factor Binding	0.824832509
Transcription Factor Binding	0.825735313
Transcription Factor Binding	0.828913182
Transcription Factor Binding	0.826167898
Transcription Factor Binding	0.832225523
Transcription Factor Binding	0.833547165
Transcription Factor Binding	0.837277567
Transcription Factor Binding	0.838352546
Transcription Factor Binding	0.842488521
Transcription Factor Binding	0.845384528
Transcription Factor Binding	0.832049828
Transcription Factor Binding	0.848635236
Transcription Factor Binding	0.844441474
Transcription Factor Binding	0.848451094
Transcription Factor Binding	0.849722139
Transcription Factor Binding	0.846166401
Transcription Factor Binding	0.847829581
Transcription Factor Binding	0.853250522
Transcription Factor Binding	0.849927612
Transcription Factor Binding	0.852120244
Transcription Factor Binding	0.853397805
Transcription Factor Binding	0.852417403
Transcription Factor Binding	0.853716068
Transcription Factor Binding	0.853603934
Transcription Factor Binding	0.856892843
Transcription Factor Binding	0.853763694
Transcription Factor Binding	0.854132899
Transcription Factor Binding	0.85452515
Transcription Factor Binding	0.855047833
Transcription Factor Binding	0.856568863
Transcription Factor Binding	0.856710396
Transcription Factor Binding	0.857868412
Transcription Factor Binding	0.8578077
Transcription Factor Binding	0.86294925
Transcription Factor Binding	0.859386781
Transcription Factor Binding	0.858154722
Transcription Factor Binding	0.858781725
Transcription Factor Binding	0.856901797
Transcription Factor Binding	0.858327506
Transcription Factor Binding	0.865398956
Transcription Factor Binding	0.860754529
Transcription Factor Binding	0.860715657
Transcription Factor Binding	0.861170724
Transcription Factor Binding	0.863038172
Transcription Factor Binding	0.863599128
Transcription Factor Binding	0.863234701
Transcription Factor Binding	0.861779656
Transcription Factor Binding	0.864114261
Transcription Factor Binding	0.86384395
Transcription Factor Binding	0.858653987
Transcription Factor Binding	0.864941571
Transcription Factor Binding	0.867794472
Transcription Factor Binding	0.865441862
Transcription Factor Binding	0.866304311
Transcription Factor Binding	0.867823765
Transcription Factor Binding	0.867553936
Transcription Factor Binding	0.86923833
Transcription Factor Binding	0.868669778
Transcription Factor Binding	0.869975499
Transcription Factor Binding	0.871543242
Transcription Factor Binding	0.871930347
Transcription Factor Binding	0.870730041
Transcription Factor Binding	0.87142603
Transcription Factor Binding	0.871278436
Transcription Factor Binding	0.872244417
Transcription Factor Binding	0.873918389
Transcription Factor Binding	0.875677582
Transcription Factor Binding	0.873280828
Transcription Factor Binding	0.876671691
Transcription Factor Binding	0.874289437
Transcription Factor Binding	0.875452495
Transcription Factor Binding	0.877195468
Transcription Factor Binding	0.887916667
Transcription Factor Binding	0.875957765
Transcription Factor Binding	0.882352941
Transcription Factor Binding	0.879930871
Transcription Factor Binding	0.877358156
Transcription Factor Binding	0.877318004
Transcription Factor Binding	0.87929896
Transcription Factor Binding	0.88166788
Transcription Factor Binding	0.880524311
Transcription Factor Binding	0.881054829
Transcription Factor Binding	0.883489885
Transcription Factor Binding	0.883451321
Transcription Factor Binding	0.885325899
Transcription Factor Binding	0.884736569
Transcription Factor Binding	0.830348944
Transcription Factor Binding	0.887060058
Transcription Factor Binding	0.885106188
Transcription Factor Binding	0.88612158
Transcription Factor Binding	0.887465156
Transcription Factor Binding	0.887512994
Transcription Factor Binding	0.887461096
Transcription Factor Binding	0.887086071
Transcription Factor Binding	0.888887624
Transcription Factor Binding	0.889875649
Transcription Factor Binding	0.889644799
Transcription Factor Binding	0.888246966
Transcription Factor Binding	0.887590588
Transcription Factor Binding	0.892704964
Transcription Factor Binding	0.891304348
Transcription Factor Binding	0.88938488
Transcription Factor Binding	0.889770026
Transcription Factor Binding	0.890258316
Transcription Factor Binding	0.893061102
Transcription Factor Binding	0.896870635
Transcription Factor Binding	0.891912187
Transcription Factor Binding	0.892426183
Transcription Factor Binding	0.893096948
Transcription Factor Binding	0.906284505
Transcription Factor Binding	0.892428851
Transcription Factor Binding	0.894945617
Transcription Factor Binding	0.894649588
Transcription Factor Binding	0.899542388
Transcription Factor Binding	0.894993858
Transcription Factor Binding	0.89402119
Transcription Factor Binding	0.894063215
Transcription Factor Binding	0.902208115
Transcription Factor Binding	0.896074741
Transcription Factor Binding	0.895565148
Transcription Factor Binding	0.898494398
Transcription Factor Binding	0.896729824
Transcription Factor Binding	0.898281682
Transcription Factor Binding	0.898492529
Transcription Factor Binding	0.898555782
Transcription Factor Binding	0.896106154
Transcription Factor Binding	0.897148141
