Mean-annotation-num	label
15.6423210579	prediction_right
12.0969473771	prediction_right
172.056334108	prediction_right
53.2610729458	prediction_right
53.2610729458	prediction_right
14.1373171195	prediction_right
18.7012717379	prediction_right
22.7456102937	prediction_right
28.9791854597	prediction_right
16.5876245513	prediction_right
101.125095465	prediction_right
31.5364616998	prediction_right
10.3827506653	prediction_right
13.0783102677	prediction_right
20.9641884383	prediction_right
66.4895011776	prediction_right
14.3674701231	prediction_right
41.1088293176	prediction_right
32.4352913439	prediction_right
82.7173494921	prediction_right
148.217701224	prediction_right
66.0517185931	prediction_right
18.0754324723	prediction_right
6.92653176178	prediction_right
16.2215452303	prediction_right
43.3140208831	prediction_right
12.9131878806	prediction_right
11.9392361696	prediction_right
35.3868727748	prediction_right
7.10620663638	prediction_right
0.392156862745	prediction_right
0.2	prediction_right
12.2402694871	prediction_right
13.6035656713	prediction_right
13.2267081476	prediction_right
6.60599580158	prediction_right
9.70748622649	prediction_right
10.5738599934	prediction_right
11.2658638435	prediction_right
25.1631627211	prediction_right
30.8262234694	prediction_right
25.1899102757	prediction_right
4.31041421717	prediction_right
46.8246574274	prediction_right
13.4022556416	prediction_right
19.3788142296	prediction_right
91.8141880271	prediction_right
18.3917196945	prediction_right
19.2577359796	prediction_right
17.8507455747	prediction_right
15.2452928231	prediction_right
189.390679996	prediction_right
183.926149284	prediction_right
219.924900676	prediction_right
71.4489021245	prediction_right
19.3185887962	prediction_right
15.1496690884	prediction_right
45.6939920776	prediction_right
73.5946768597	prediction_right
13.5996979458	prediction_right
23.6044847354	prediction_right
35.6559493612	prediction_right
40.7137895721	prediction_right
4.6462962963	prediction_right
11.5395168502	prediction_right
17.3634624048	prediction_right
3.0376434749	prediction_right
147.406423789	prediction_right
15.5447091054	prediction_right
10.8750756655	prediction_right
8.25240127859	prediction_right
8.08085941415	prediction_right
39.4312203248	prediction_right
76.5322883801	prediction_right
34.6784876263	prediction_right
30.5379193777	prediction_right
14.1943957174	prediction_right
12.4543272829	prediction_right
35.7145711117	prediction_right
169.814253643	prediction_right
27.1779923942	prediction_right
15.236902439	prediction_right
17.8301419052	prediction_right
17.1208371895	prediction_right
179.690881087	prediction_right
12.9818187896	prediction_right
36.029323667	prediction_right
14.9502146339	prediction_right
18.2881936694	prediction_right
9.13723986616	prediction_right
35.6612535431	prediction_right
28.1047314215	prediction_right
